Generation	Exploration Value
0	0.002
1	0.004
2	0.007
3	0.007
4	0.009
5	0.011
6	0.013
7	0.016
8	0.018
9	0.02
10	0.022
11	0.024
12	0.027
13	0.029
14	0.031
15	0.031
16	0.033
17	0.036
18	0.038
19	0.04
20	0.04
21	0.042
22	0.044
23	0.047
24	0.047
25	0.047
26	0.049
27	0.051
28	0.051
29	0.051
30	0.053
31	0.056
32	0.058
33	0.06
34	0.062
35	0.062
36	0.062
37	0.064
38	0.067
39	0.069
40	0.069
41	0.071
42	0.073
43	0.076
44	0.078
45	0.08
46	0.082
47	0.084
48	0.087
49	0.087
50	0.087
51	0.087
52	0.089
53	0.091
54	0.091
55	0.091
56	0.093
57	0.096
58	0.098
59	0.098
60	0.098
61	0.1
62	0.102
63	0.102
64	0.102
65	0.104
66	0.104
67	0.104
68	0.104
69	0.104
70	0.104
71	0.104
72	0.104
73	0.104
74	0.104
75	0.104
76	0.104
77	0.104
78	0.104
79	0.104
80	0.104
81	0.107
82	0.107
83	0.107
84	0.107
85	0.109
86	0.111
87	0.113
88	0.116
89	0.118
90	0.118
91	0.118
92	0.118
93	0.118
94	0.12
95	0.12
96	0.12
97	0.12
98	0.122
99	0.122
100	0.124
101	0.127
102	0.127
103	0.127
104	0.129
105	0.131
106	0.133
107	0.133
108	0.133
109	0.136
110	0.138
111	0.138
112	0.14
113	0.142
114	0.144
115	0.144
116	0.144
117	0.144
118	0.144
119	0.147
120	0.147
121	0.147
122	0.149
123	0.151
124	0.151
125	0.151
126	0.151
127	0.153
128	0.156
129	0.156
130	0.158
131	0.16
132	0.162
133	0.164
134	0.167
135	0.169
136	0.171
137	0.171
138	0.171
139	0.173
140	0.176
141	0.176
142	0.178
143	0.18
144	0.182
145	0.182
146	0.184
147	0.187
148	0.187
149	0.187
150	0.187
151	0.189
152	0.189
153	0.189
154	0.189
155	0.189
156	0.189
157	0.189
158	0.189
159	0.189
160	0.191
161	0.191
162	0.191
163	0.191
164	0.191
165	0.193
166	0.193
167	0.193
168	0.193
169	0.193
170	0.193
171	0.196
172	0.196
173	0.196
174	0.196
175	0.196
176	0.196
177	0.196
178	0.196
179	0.196
180	0.196
181	0.196
182	0.196
183	0.196
184	0.196
185	0.196
186	0.196
187	0.196
188	0.196
189	0.196
190	0.196
191	0.196
192	0.196
193	0.196
194	0.196
195	0.196
196	0.196
197	0.198
198	0.198
199	0.198
200	0.198
201	0.198
202	0.2
203	0.202
204	0.202
205	0.202
206	0.202
207	0.202
208	0.202
209	0.202
210	0.202
211	0.202
212	0.202
213	0.202
214	0.202
215	0.202
216	0.202
217	0.202
218	0.202
219	0.202
220	0.202
221	0.202
222	0.202
223	0.202
224	0.202
225	0.202
226	0.202
227	0.202
228	0.202
229	0.202
230	0.204
231	0.204
232	0.204
233	0.204
234	0.204
235	0.204
236	0.204
237	0.204
238	0.204
239	0.204
240	0.207
241	0.209
242	0.209
243	0.209
244	0.209
245	0.209
246	0.209
247	0.211
248	0.211
249	0.211
250	0.211
251	0.213
252	0.216
253	0.216
254	0.216
255	0.216
256	0.216
257	0.216
258	0.218
259	0.218
260	0.218
261	0.218
262	0.22
263	0.22
264	0.222
265	0.222
266	0.222
267	0.222
268	0.224
269	0.227
270	0.227
271	0.229
272	0.229
273	0.231
274	0.231
275	0.231
276	0.233
277	0.236
278	0.238
279	0.238
280	0.238
281	0.24
282	0.242
283	0.242
284	0.242
285	0.244
286	0.244
287	0.244
288	0.247
289	0.247
290	0.247
291	0.249
292	0.251
293	0.253
294	0.253
295	0.256
296	0.258
297	0.26
298	0.26
299	0.26
