ID	Elements	Generation	Position	Activity	Region	Visited
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.096 0.123 0.06  0.124 0.088 0.22  0.078 0.211]	-0.2879156640624998	223	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.109 0.163 0.025 0.041 0.067 0.005 0.408 0.182]	-0.5814883300781241	41	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	2	[0.007 0.075 0.497 0.227 0.004 0.1   0.003 0.087]	-0.1444658496093748	258	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	3	[0.079 0.174 0.    0.015 0.038 0.002 0.484 0.208]	-0.5436314941406253	41	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	4	[0.221 0.151 0.    0.051 0.071 0.006 0.463 0.037]	-0.6779162597656244	346	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	5	[ 0.418  0.175 -0.001  0.014  0.116  0.012  0.249  0.017]	-0.745236542968748	427	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	6	[0.722 0.065 0.001 0.032 0.045 0.071 0.052 0.012]	-0.8317359667968733	448	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	7	[0.599 0.014 0.002 0.01  0.199 0.011 0.151 0.014]	-0.6672357617187494	443	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	8	[0.629 0.114 0.011 0.011 0.002 0.021 0.204 0.008]	-0.912912441406249	445	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	9	[0.132 0.755 0.001 0.    0.    0.    0.112 0.   ]	-0.6504359472656237	174	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	10	[0.487 0.259 0.    0.02  0.005 0.001 0.222 0.006]	-0.962667226562497	427	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	11	[0.541 0.252 0.    0.046 0.043 0.034 0.078 0.006]	-0.9135051269531188	447	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	12	[0.509 0.102 0.003 0.03  0.    0.019 0.08  0.257]	-0.9104353320312482	436	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	13	[0.738 0.153 0.    0.002 0.046 0.    0.    0.061]	-0.8784813671874991	447	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	14	[0.474 0.397 0.002 0.102 0.001 0.014 0.007 0.003]	-0.7918771289062471	432	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	15	[0.575 0.085 0.008 0.166 0.006 0.004 0.064 0.092]	-0.6928774316406261	442	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	16	[0.551 0.028 0.002 0.004 0.017 0.337 0.011 0.05 ]	-0.5626612500000008	444	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	17	[0.599 0.235 0.001 0.029 0.005 0.054 0.02  0.057]	-0.9401981054687476	447	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	18	[0.493 0.23  0.001 0.018 0.007 0.016 0.116 0.119]	-0.9753866894531208	440	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	19	[0.103 0.002 0.    0.008 0.063 0.003 0.053 0.768]	-0.5666512499999995	86	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	20	[ 0.07   0.011 -0.001  0.022  0.728  0.095  0.051  0.024]	-0.245983017578124	212	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	21	[ 0.396  0.445 -0.001  0.002  0.003  0.005  0.085  0.065]	-0.9215358007812452	432	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	22	[ 0.596  0.19  -0.001  0.     0.     0.     0.079  0.136]	-0.9516576269531216	447	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	23	[0.525 0.238 0.    0.    0.    0.    0.139 0.098]	-0.9298177832031234	427	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	24	[0.556 0.237 0.001 0.    0.    0.    0.106 0.1  ]	-0.9293954882812484	447	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	25	[0.419 0.376 0.001 0.    0.011 0.    0.073 0.12 ]	-0.9435252539062446	432	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	26	[0.565 0.124 0.    0.    0.    0.001 0.23  0.08 ]	-0.9248110742187496	445	True
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	27	[ 0.417  0.247 -0.001  0.     0.     0.     0.049  0.288]	-0.953008925781248	426	False
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	28	[0.548 0.173 0.    0.    0.    0.011 0.018 0.25 ]	-0.9493471289062472	426	True
