Elements	Point	Region	Count	First visit
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.225 0.025 0.025 0.225 0.225]	0	2	0.0
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.225 0.025 0.025 0.425 0.025]	1	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.225 0.025 0.225 0.025 0.225]	2	1	1.0
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.225 0.025 0.025 0.025 0.425]	3	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.225 0.025 0.225 0.225 0.025]	4	1	2.0
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.225 0.225 0.225 0.025 0.025]	5	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.225 0.225 0.025 0.025 0.225]	6	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.225 0.225 0.025 0.225 0.025]	7	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.625 0.025 0.025 0.025]	8	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.225 0.425 0.025 0.025 0.025]	9	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.425 0.025 0.025 0.025 0.225]	10	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.425 0.025 0.025 0.225 0.025]	11	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.225 0.025 0.425 0.025 0.025]	12	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.425 0.225 0.025 0.025]	13	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.225 0.025 0.425 0.025]	14	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.425 0.025 0.025 0.225]	15	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.425 0.025 0.225 0.025 0.025]	16	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.025 0.025 0.225 0.425]	17	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.025 0.025 0.425 0.225]	18	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.025 0.025 0.625 0.025]	19	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.025 0.225 0.025 0.425]	20	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.025 0.225 0.425 0.025]	21	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.425 0.025 0.225 0.025]	22	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.025 0.425 0.025 0.225]	23	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.025 0.625 0.025 0.025]	24	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.225 0.025 0.025 0.425]	25	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.225 0.025 0.225 0.225]	26	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.225 0.225 0.025 0.225]	27	1	21.0
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.225 0.225 0.225 0.025]	28	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.225 0.425 0.025 0.025]	29	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.025 0.425 0.225 0.025]	30	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.025 0.225 0.225 0.225]	31	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.225 0.025 0.025 0.025 0.025 0.225 0.425]	32	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.625 0.025 0.025 0.025 0.025]	33	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.225 0.025 0.025 0.025 0.625 0.025 0.025]	34	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.225 0.025 0.025 0.025 0.425 0.225 0.025]	35	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.225 0.025 0.025 0.025 0.425 0.025 0.225]	36	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.225 0.025 0.025 0.025 0.225 0.425 0.025]	37	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.225 0.025 0.025 0.025 0.225 0.225 0.225]	38	5	4.0
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.225 0.025 0.025 0.025 0.225 0.025 0.425]	39	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.225 0.025 0.025 0.025 0.025 0.625 0.025]	40	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.225 0.025 0.025 0.025 0.025 0.425 0.225]	41	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.225 0.025 0.025 0.025 0.025 0.625]	42	0	
