Generation	min_value
0	-0.6361019238281217
1	-0.7673190722656276
2	-0.7828655273437516
3	-0.8107707617187475
4	-0.826643837890624
5	-0.8758720410156194
6	-0.9020248339843712
7	-0.9189031249999948
8	-0.9702454882812446
9	-0.9702454882812446
10	-0.9702454882812446
11	-0.9702454882812446
12	-1.0032873339843715
13	-1.0032873339843715
14	-1.0032873339843715
15	-1.003513671874996
16	-1.003513671874996
17	-1.003513671874996
18	-1.003513671874996
19	-1.003513671874996
20	-1.003513671874996
21	-1.003513671874996
22	-1.003513671874996
23	-1.003513671874996
24	-1.003513671874996
25	-1.009277646484371
26	-1.016219218749996
27	-1.016219218749996
28	-1.0190866894531212
29	-1.0190866894531212
30	-1.0190866894531212
