Iteration	COC_Opt	Pt	Ru	Rh	Ir	Re	Os	Pd	Au	distance
1	-0.38095970703125037	0.176	0.219	0.106	0.073	0.107	0.058	0.076	0.185	0.1383717793020801
2	-0.4567021484374998	0.401	0.024	0.12	0.159	0.075	0.103	0.114	0.004	0.06691055091499055
3	-0.19024572265624992	0.029	0.053	0.142	0.029	0.1	0.432	0.134	0.081	0.3361570315554608
4	-0.37833219726562384	0.373	0.096	0.111	0.147	0.084	0.031	0.095	0.063	0.06671033042659816
5	-0.5471166015625023	0.41	0.002	0.133	0.179	0.08	0.142	0.054	0.0	0.10431870856629168
6	-0.5611382421875021	0.421	0.007	0.078	0.181	0.031	0.261	0.022	-0.001	0.14069891675714702
7	-0.6878983886718744	0.577	0.021	0.083	0.103	0.05	0.13	0.035	0.001	0.10512888426074103
8	-0.47866014648437627	0.671	0.021	0.095	0.136	0.006	0.066	0.003	0.002	0.1611599440867018
9	-0.778184619140627	0.569	0.008	0.08	0.054	0.077	0.193	0.019	0.0	0.12085531293540827
10	-0.9096745605468776	0.484	0.036	0.022	0.071	0.254	0.119	0.011	0.003	0.138491465028568
11	-0.7770796191406256	0.347	0.091	0.018	0.013	0.459	0.065	0.007	0.0	0.2732825926330092
12	-0.1558232031250001	0.029	0.014	0.006	0.337	0.614	0.0	0.0	0.0	0.6874153565736457
13	-0.08254976562500044	0.029	0.834	0.022	0.025	0.057	0.034	0.0	-0.001	0.8339886729434112
14	-0.8679921191406277	0.57	0.014	0.005	0.022	0.281	0.064	0.043	0.001	0.15107598952269094
15	-0.6916395312500003	0.421	0.028	0.104	0.021	0.31	0.115	0.001	0.0	0.17281715138697692
16	-0.22577745117187434	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.2195245469486937
17	-0.7909106640625001	0.521	0.092	0.001	0.002	0.137	0.146	0.1	0.001	0.06985439086343893
18	-0.19903997070312482	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.2195245469486937
19	-0.23673957031249987	0.034	0.0	0.01	0.018	0.079	0.062	0.798	-0.001	0.4480304046914898
20	-0.7005614843750009	0.47	0.109	0.002	0.032	0.362	0.02	0.005	0.0	0.19912875124690493
21	-0.8986881738281283	0.533	0.024	0.014	0.029	0.206	0.165	0.029	0.0	0.12424203094908094
22	-0.8771932617187528	0.494	0.0	0.0	0.0	0.276	0.23	0.0	0.0	0.1837499387702533
23	-0.870927753906253	0.474	0.002	0.01	0.028	0.34	0.129	0.016	0.001	0.18386429004896357
24	-0.9112252148437519	0.592	0.019	0.0	0.0	0.254	0.123	0.011	0.001	0.16409764796238593
25	-0.5749854882812497	0.085	0.032	0.0	0.0	0.793	0.065	0.026	-0.001	0.7740224415482713
26	-0.5183550097656273	0.113	0.209	0.0	0.003	0.429	0.245	0.0	0.001	0.3977677302372248
27	-0.8767280175781277	0.552	0.0	0.0	0.0	0.268	0.177	0.002	0.001	0.17538814556154222
28	-0.8705970214843778	0.495	0.0	0.0	0.0	0.333	0.099	0.072	0.001	0.15497450469795895
29	-0.8771932617187528	0.517	0.0	0.0	0.0	0.258	0.225	0.0	0.0	0.17732905771669494
30	-0.619457949218751	0.539	0.0	0.0	0.112	0.207	0.141	0.001	0.0	0.14683150866101394
31	-0.8764737500000027	0.604	0.0	0.0	0.0	0.226	0.17	0.0	0.0	0.17216752687659104
32	-0.892538437500003	0.568	0.02	0.008	0.0	0.302	0.095	0.008	-0.001	0.17960242475492302
33	-0.8771932617187528	0.568	0.0	0.0	0.0	0.215	0.214	0.003	0.0	0.16633488306478725
34	-0.8771932617187528	0.585	0.0	0.0	0.0	0.172	0.242	0.0	0.001	0.16817024055968827
35	-0.9063890625000026	0.444	0.015	0.0	0.0	0.228	0.294	0.018	0.001	0.17226294134589598
36	-0.8831821777343751	0.446	0.02	0.031	0.0	0.317	0.185	0.0	0.001	0.18597385736893593
