Iteration	COC_Opt	Pt	Ru	Rh	Ir	Re	Os	Pd	Au
1	-0.4293459765625001	0.135	0.168	0.052	0.043	0.118	0.328	0.042	0.114
2	-0.14392838867187474	0.0	0.015	0.117	0.601	0.15	0.036	0.023	0.058
3	-0.16019246093749973	0.015	0.056	0.184	0.136	0.11	0.459	0.001	0.039
4	-0.3805189648437486	0.079	0.067	0.306	0.027	0.283	0.027	0.017	0.194
5	-0.38805135742187385	0.114	0.093	0.284	0.018	0.253	0.059	0.036	0.143
6	-0.5027705859375016	0.177	0.199	0.039	0.0	0.144	0.237	0.055	0.149
7	-0.6017444628906259	0.302	0.471	0.011	0.009	0.029	0.126	0.052	0.0
8	-0.24688720703124972	0.071	0.417	0.014	0.039	0.001	0.017	0.44	0.001
9	-0.6740135253906273	0.662	0.129	0.021	0.017	0.072	0.098	0.001	0.0
10	-0.7239367480468749	0.698	0.299	0.0	0.0	0.0	0.0	0.002	0.001
11	-0.6427854589843759	0.247	0.089	0.0	0.0	0.664	0.0	0.0	0.0
12	-0.09551367187500033	0.018	0.392	0.0	0.0	0.581	0.0	0.009	0.0
13	-0.973778925781246	0.452	0.018	0.009	0.001	0.353	0.01	0.157	0.0
14	-0.9344706152343724	0.543	0.006	0.0	0.057	0.06	0.0	0.333	0.001
15	-0.9393404882812456	0.419	0.0	0.0	0.0	0.251	0.0	0.33	0.0
16	-0.5971250683593747	0.476	0.005	0.01	0.121	0.237	0.001	0.149	0.001
17	-0.966717978515622	0.47	0.0	0.0	0.0	0.0	0.225	0.305	0.0
18	-0.7658961621093731	0.425	0.12	0.032	0.016	0.002	0.062	0.342	0.001
19	-0.24267475585937548	0.052	0.007	0.064	0.002	0.013	0.121	0.735	0.006
20	-0.11617781250000003	0.012	0.908	0.007	0.0	0.0	0.072	0.0	0.001
21	-0.834510390624997	0.483	0.092	0.008	0.012	0.203	0.011	0.19	0.001
22	-0.22394056640624943	0.035	0.007	0.908	0.016	0.0	0.0	0.033	0.001
23	-0.8589895605468714	0.517	0.018	0.081	0.02	0.098	0.039	0.227	0.0
24	-0.23700385742187552	0.03	0.0	0.0	0.0	0.577	0.116	0.276	0.001
25	-0.9366230761718696	0.514	0.002	0.029	0.008	0.112	0.026	0.307	0.002
26	-0.9590500878906237	0.427	0.0	0.0	0.0	0.0	0.373	0.2	0.0
27	-0.8766990820312522	0.538	0.0	0.0	0.0	0.0	0.447	0.015	0.0
28	-0.9394147265624967	0.526	0.0	0.0	0.0	0.113	0.041	0.32	0.0
29	-0.9405641601562467	0.553	0.0	0.0	0.0	0.0	0.0	0.446	0.001
30	-0.9598034863281234	0.469	0.0	0.025	0.0	0.0	0.307	0.197	0.002
31	-0.9453487988281218	0.662	0.0	0.0	0.0	0.0	0.0	0.338	0.0
32	-0.958964433593749	0.53	0.0	0.0	0.0	0.0	0.0	0.305	0.165
33	-0.7205998242187509	0.609	0.0	0.382	0.003	0.0	0.002	0.003	0.001
34	-0.9647188085937486	0.469	0.0	0.0	0.0	0.0	0.297	0.234	0.0
35	-0.8583875585937497	0.356	0.006	0.027	0.004	0.403	0.187	0.018	-0.001
36	-0.9190727050781285	0.377	0.0	0.0	0.0	0.0	0.301	0.0	0.322
37	-0.7951109863281242	0.465	0.018	0.083	0.0	0.408	0.025	0.0	0.001
38	-0.9539696191406218	0.408	0.0	0.0	0.0	0.212	0.156	0.224	0.0
39	-0.9643683203124986	0.439	0.0	0.0	0.0	0.0	0.244	0.181	0.136
40	-0.3590761816406238	0.071	0.004	0.0	0.0	0.0	0.872	0.05	0.003
41	-0.8802067968749989	0.357	0.001	0.005	0.005	0.223	0.317	0.092	0.0
42	-0.9642952734374988	0.502	0.0	0.0	0.0	0.0	0.253	0.244	0.001
43	-0.7979154687500021	0.289	0.0	0.0	0.0	0.0	0.0	0.0	0.711
44	-0.9695901269531235	0.415	0.0	0.0	0.0	0.0	0.274	0.235	0.076
45	-0.9493870605468722	0.415	0.0	0.0	0.0	0.396	0.0	0.189	0.0
46	-0.9395828417968728	0.472	0.0	0.0	0.0	0.274	0.016	0.237	0.001
47	-0.9647211230468723	0.514	0.0	0.0	0.0	0.0	0.188	0.297	0.001
48	-0.9368511621093721	0.464	0.0	0.0	0.0	0.082	0.312	0.142	0.0
49	-0.9676103222656236	0.462	0.0	0.0	0.0	0.0	0.274	0.23	0.034
50	-0.7785013183593722	0.508	0.0	0.203	0.0	0.0	0.0	0.289	0.0
51	-0.9541159277343726	0.396	0.0	0.0	0.0	0.086	0.0	0.323	0.195
52	-0.8754091894531245	0.426	0.0	0.0	0.0	0.359	0.112	0.102	0.001
53	-0.9711429589843734	0.459	0.0	0.0	0.0	0.0	0.242	0.226	0.073
54	-0.9427251464843722	0.402	0.0	0.0	0.0	0.105	0.203	0.274	0.016
55	-0.9347235742187453	0.545	0.0	0.0	0.0	0.09	0.0	0.365	0.0
56	-0.9639809765625009	0.421	0.0	0.0	0.0	0.0	0.113	0.27	0.196
57	-0.6915069726562524	0.448	0.0	0.22	0.0	0.0	0.33	0.0	0.002
58	-0.9592257714843705	0.411	0.073	0.001	0.0	0.351	0.0	0.164	0.0
59	-0.8989928125000001	0.868	0.0	0.0	0.0	0.021	0.013	0.098	0.0
60	-0.6037388476562501	0.377	0.0	0.0	0.157	0.0	0.316	0.149	0.001
61	-0.7685888671874985	0.415	0.0	0.106	0.0	0.299	0.0	0.18	0.0
62	-0.9319385644531241	0.41	0.0	0.0	0.0	0.134	0.076	0.261	0.119
63	-0.6037201660156251	0.389	0.0	0.0	0.118	0.012	0.0	0.477	0.004
64	-0.6931302246093759	0.157	0.0	0.0	0.0	0.485	0.358	0.0	0.0
65	-0.9526038574218751	0.544	0.0	0.0	0.0	0.0	0.0	0.281	0.175
66	-0.6848752832031267	0.429	0.195	0.0	0.0	0.008	0.306	0.062	0.0
