Iteration	COC_Opt	Pt	Ru	Rh	Ir	Re	Os	Pd	Au
1	-0.2670944238281244	0.10963679951567018	0.18847508555448644	0.10628214330761554	0.1447243982794132	0.18037463623600847	0.14677631014688453	0.07866751318787202	0.045063113772049634
2	-0.1807084179687503	0.041282463476153386	0.0150583904629904	0.007065128027383127	0.36536565298497414	0.22618252854195586	0.015302174543642466	0.06824974113957372	0.2614939208233269
3	-0.26489031249999945	0.11601192678746969	0.18901126318390685	0.10883393142775163	0.1420753852606968	0.18045749321988006	0.14551624581346992	0.07587828462021723	0.04221546968660772
4	-0.14087372070312557	0.026830795086659913	0.2181806030247421	0.08885222686643358	0.13708870355358493	0.16908589926174258	0.19485207452723172	0.1237156846336713	0.04139401304593382
5	-0.25575291992187477	0.11049214178682937	0.16762841842240178	0.09765971413750935	0.16835297491651696	0.18621158582834194	0.12851870540268645	0.07326229487754277	0.06787416462817131
6	-0.26753423828125006	0.1162660786094827	0.1706725163956711	0.126538990323151	0.15329000491669734	0.15522876792251575	0.1358821778365674	0.10730643169496117	0.03481503230095362
7	-0.2621143457031246	0.12831048402120102	0.17720532685739646	0.10941425255748564	0.17435101537051212	0.13018149596837256	0.16593109589064858	0.0760118850149905	0.038594444319393184
8	-0.2502306152343752	0.11280374453714136	0.20394371006066317	0.10803778356523777	0.15241390063343105	0.11768430811056303	0.1001236991485822	0.08219957787021748	0.1227932760741639
9	-0.2661022460937503	0.10113525773660677	0.15988937933419073	0.1763962767384458	0.16847099244832225	0.155547737726868	0.15516009193851368	0.06561627568923768	0.01778398838781503
10	-0.29681125976562395	0.17729851917626177	0.14162583032999293	0.1661224381803444	0.11367911587588307	0.16102061018441408	0.15660521523250318	0.08364805294569831	2.1807490235836724e-07
11	-0.4496650000000009	0.2921674919963556	0.1645620178249929	0.11261182464738964	0.10534436747322573	0.16916159841130535	0.12555521968609668	0.030597145583683375	3.343769506836125e-07
12	-0.7467500000000011	0.6393019964416983	0.0999370479613122	0.014505155043044615	0.005877101745838331	0.10027782852070288	0.006518415255229448	0.021991753878071396	0.11159070115410286
13	-0.7992200097656265	0.7391940853856629	0.002226592232974293	0.07374117154861301	0.038174539681413315	0.011383830238456318	0.029013357425665975	0.10618617679374469	8.024669346951008e-05
14	-0.8784851074218754	0.8677551986243186	0.022065280759493194	0.01923889560769414	0.009373145669565623	0.0	0.0752506633376494	0.002646916867017671	0.003669899134261412
15	-0.7584432421874996	0.7297442639747197	0.009689878048413576	0.06597403940357682	0.01667724716473564	0.0962908532672728	0.043860657095094555	0.0377452021780369	1.7858868149978058e-05
16	-0.8671165234375003	0.672016705566492	0.0	0.0	0.0	0.0	0.32789162904194913	0.0	9.166539155891495e-05
17	-0.6834707324218762	0.6262214214245749	0.1281396630986298	0.0351836147942295	0.0	0.0	0.1601650606930936	0.049713426319555706	0.000576813669916576
18	-0.6404945800781238	0.1414510567643696	0.0	0.826758955955532	0.0	0.0	0.029702055205769583	0.0	0.00208793207432878
19	-0.7098766015625002	0.1783887659365351	0.0	0.027285546630440635	0.0	0.7943117672376433	0.0	0.0	1.3920195380934253e-05
20	-0.9051255859374997	0.5190724005400627	0.03402887698509572	0.006521435807348251	0.0	0.4178424565120914	0.01652910568117512	0.005992056270560378	1.3668203666439283e-05
21	-0.8085697265624956	0.26234731880116596	0.0014749339613795503	0.035847824972398634	0.04994092552038186	0.04154541201926376	0.0	0.6088434026645784	1.8206083185479116e-07
22	-0.24041883789062551	0.025244951176882118	0.21021236998589632	0.00398298414639624	0.0007622310126043407	0.0	0.004302541572342108	0.755275308716932	0.00021961338894682658
23	-0.9663870898437469	0.45453893567684756	0.018209612680426403	0.01229623952163493	0.008664276846989368	0.2722153761171509	0.025926755709418183	0.20811651061566047	3.229283187211607e-05
24	-0.9133687109374967	0.4281891057793488	0.001591996571192548	0.012992960695985982	0.019900948483971816	0.1604977648436991	0.0013710237514549892	0.3754544087430082	1.7911313384688654e-06
25	-0.9448288085937493	0.4325572025564661	0.008095928438242117	0.007792606768156876	0.047980413435016675	0.32683646100185526	0.033107641391530405	0.14362892117349432	8.252352381443728e-07
26	-0.5779642285156248	0.6213912283004887	0.0	0.0	0.30191577792806773	2.0924100428685216e-05	0.008943692243329247	0.06772757555125165	8.01876434031179e-07
27	-0.6835670703124997	0.09464198294398102	0.0	0.0	0.028354030868662467	0.0	0.8767735210618701	0.0	0.00023046512548641207
28	-0.9342642675781233	0.37057436102141256	0.0016340474864132142	0.003519287483857791	0.00031102792846226417	0.48374855083051543	0.0038280136372861305	0.1361113199716743	0.00027339164037831765
29	-0.14298866210937497	0.04559150241399098	0.8646080835695465	0.0	0.06628188780955058	0.0	0.02351840491479869	0.0	1.2129211313105515e-07
30	-0.9363998339843732	0.4704349622689992	0.0	0.0	0.0	0.3622089825159931	0.0	0.16735583850412647	2.1671088124008975e-07
31	-0.9203796874999975	0.48631355474980104	0.0	0.0	0.0	0.2046649846990354	0.15704651363147792	0.15119599313986223	0.0007789537798233992
32	-0.8884678027343692	0.31850497787099324	0.0	0.0	0.0	0.23159668644843381	0.11748591151216475	0.33239443761000964	1.798655839846397e-05
33	-0.9485707910156218	0.41639698503809475	3.4416140008523607e-18	0.0	0.0	0.005452966971740173	0.3419221066183452	0.23622642316602047	1.5182057993001763e-06
34	-0.9294250976562467	0.5601765325289192	0.0	0.0	0.0	0.0009367465806546882	0.035802813792521065	0.40307579895942763	8.108138477513904e-06
35	-0.940823095703123	0.6019552449645501	0.0	0.0	0.0	0.16568311329199067	0.03198020966125932	0.19884564388540862	0.0015357881967912324
36	-0.9298201953124979	0.4446904202629697	0.0	0.0	0.0	0.3166447136482431	0.003561959319046652	0.23508321038573768	1.9696384002898526e-05
37	-0.9441573925781204	0.4576584079799845	0.0	0.0	0.0	0.0010196470709924867	0.13940402812948618	0.4017427056943916	0.00017521112514518045
38	-0.9397523828124978	0.5034566078766469	0.0	0.0	0.0	0.2703689976972189	0.0023384265856028494	0.22346814717076224	0.0003678206697690367
39	-0.7301118261718753	0.2590700909158989	0.0	0.0	0.0	0.39849412185995037	0.32737099514080004	0.015042498894100004	2.229318925073276e-05
40	-0.9401656835937477	0.47296161785076885	0.0	0.0	0.0	0.31003396801924704	0.01962709408562194	0.19669246529991435	0.0006848547444477937
41	-0.9296551660156213	0.5977618495589923	0.0	0.0	0.0	0.0002966789719192166	0.0003522500419663492	0.4015814950738688	7.7263532534122e-06
42	-0.9195844238281218	0.4607933441964658	0.0	0.0	0.0	0.1618930803832433	0.06825729831006883	0.3088249130809632	0.00023136402925882926
43	-0.9495444238281218	0.49377194642920696	0.0	0.0	0.0	0.0004349817007581109	0.23383540676705325	0.27195661955674794	1.0455462338132548e-06
44	-0.9296551660156213	0.4864976063302535	0.0	0.0	0.0	0.0	0.0002773279399245985	0.5126523949290334	0.0005726708007884884
45	-0.9306074218749971	0.49315001061733177	0.0	0.0	0.0	0.21135910156519797	0.0012697737447745034	0.29421472451102315	6.389561672537347e-06
