ID	Elements	Generation	Position	Region	Velocity	Visited	Activity
1	['Pt', 'Pd', 'Au']	0	[0.5 0.5 0. ]	73	[-0.082 -0.082  0.163]	False	-0.9354299609374972
2	['Pt', 'Pd', 'Au']	0	[0.5 0.  0.5]	70	[-0.082  0.163 -0.082]	False	-0.897265693359377
3	['Pt', 'Pd', 'Au']	0	[0.  0.5 0.5]	15	[ 0.163 -0.082 -0.082]	False	-0.2675595117187502
4	['Pt', 'Pd', 'Au']	0	[0.413 0.564 0.023]	67	[-0.041 -0.117  0.157]	False	-0.9353775488281221
5	['Pt', 'Pd', 'Au']	0	[0.425 0.163 0.411]	66	[-0.088  0.163 -0.075]	False	-0.9737154296874985
6	['Pt', 'Pd', 'Au']	0	[0.315 0.317 0.368]	53	[ 0.085  0.075 -0.165]	False	-0.9925726464843737
1	['Pt', 'Pd', 'Au']	1	[0.37  0.478 0.152]	62	[ 0.065  0.011 -0.076]	False	-0.9409897363281222
2	['Pt', 'Pd', 'Au']	1	[0.334 0.292 0.374]	60	[ 0.083 -0.146  0.063]	False	-0.9979978906249989
3	['Pt', 'Pd', 'Au']	1	[0.005 0.489 0.506]	9	[ 0.005 -0.011  0.006]	False	-0.26856052734375013
4	['Pt', 'Pd', 'Au']	1	[0.291 0.466 0.243]	47	[ 0.061  0.049 -0.11 ]	False	-0.9732389648437484
5	['Pt', 'Pd', 'Au']	1	[0.47  0.078 0.451]	70	[ 0.045 -0.085  0.04 ]	True	-0.905958818359377
6	['Pt', 'Pd', 'Au']	1	[0.269 0.282 0.449]	50	[-0.046 -0.035  0.081]	False	-0.9702844433593759
