ID	Elements	Generation	Position	Region	Velocity	Activity
1	['Pt', 'Pd', 'Au']	0	[0.5 0.5 0. ]	11	[-0.082 -0.082  0.163]	-0.27794668945312473
2	['Pt', 'Pd', 'Au']	0	[0.5 0.  0.5]	9	[-0.082  0.163 -0.082]	-0.947460126953122
3	['Pt', 'Pd', 'Au']	0	[0.  0.5 0.5]	2	[ 0.163 -0.082 -0.082]	-0.8928844433593769
4	['Pt', 'Pd', 'Au']	0	[0.25  0.155 0.595]	5	[ 0.051  0.109 -0.16 ]	-0.9500775585937494
5	['Pt', 'Pd', 'Au']	0	[0.307 0.395 0.298]	7	[ 0.069 -0.164  0.092]	-0.98608240234375
6	['Pt', 'Pd', 'Au']	0	[0.354 0.056 0.59 ]	5	[-0.011  0.146 -0.136]	-0.9542632421874969
1	['Pt', 'Pd', 'Au']	1	[0.479 0.506 0.015]	11	[-0.021  0.006  0.015]	-0.2871508789062496
2	['Pt', 'Pd', 'Au']	1	[0.404 0.198 0.398]	9	[ 0.048 -0.099  0.051]	-0.9595243945312485
3	['Pt', 'Pd', 'Au']	1	[0.226 0.382 0.392]	6	[-0.113  0.059  0.054]	-0.996167314453125
4	['Pt', 'Pd', 'Au']	1	[0.17  0.072 0.758]	5	[-0.08  -0.083  0.163]	-0.9521327539062483
5	['Pt', 'Pd', 'Au']	1	[0.229 0.559 0.213]	7	[-0.078  0.164 -0.085]	-0.8779068945312528
6	['Pt', 'Pd', 'Au']	1	[0.338 0.22  0.442]	6	[ 0.008 -0.082  0.074]	-0.9961360742187482
1	['Pt', 'Pd', 'Au']	2	[0.38  0.465 0.155]	11	[-0.099 -0.041  0.14 ]	-0.893425732421874
2	['Pt', 'Pd', 'Au']	2	[0.372 0.291 0.337]	10	[-0.032  0.093 -0.061]	-1.0020746777343743
3	['Pt', 'Pd', 'Au']	2	[0.348 0.306 0.347]	10	[ 0.122 -0.076 -0.045]	-1.032003310546874
4	['Pt', 'Pd', 'Au']	2	[0.247 0.158 0.595]	5	[ 0.077  0.086 -0.163]	-0.9528824121093749
5	['Pt', 'Pd', 'Au']	2	[0.299 0.401 0.302]	7	[ 0.07  -0.158  0.089]	-0.9891923046875001
6	['Pt', 'Pd', 'Au']	2	[0.312 0.324 0.364]	6	[-0.026  0.104 -0.078]	-1.0389200683593742
1	['Pt', 'Pd', 'Au']	3	[0.449 0.488 0.063]	11	[ 0.069  0.023 -0.092]	-0.30798466796874935
2	['Pt', 'Pd', 'Au']	3	[0.45  0.191 0.359]	10	[ 0.078 -0.1    0.022]	-0.9579340039062485
3	['Pt', 'Pd', 'Au']	3	[0.265 0.377 0.359]	7	[-0.083  0.071  0.012]	-1.0131218945312501
4	['Pt', 'Pd', 'Au']	3	[0.184 0.089 0.727]	5	[-0.063 -0.069  0.132]	-0.9592462207031235
5	['Pt', 'Pd', 'Au']	3	[0.228 0.556 0.217]	7	[-0.071  0.155 -0.085]	-0.8781758398437528
6	['Pt', 'Pd', 'Au']	3	[0.346 0.206 0.447]	6	[ 0.034 -0.118  0.083]	-0.9642364746093735
1	['Pt', 'Pd', 'Au']	4	[0.324 0.459 0.217]	7	[-0.125 -0.029  0.154]	-0.9672911230468745
2	['Pt', 'Pd', 'Au']	4	[0.347 0.271 0.382]	6	[-0.103  0.08   0.023]	-1.0308715039062486
3	['Pt', 'Pd', 'Au']	4	[0.337 0.283 0.381]	6	[ 0.072 -0.094  0.022]	-1.0302496972656237
4	['Pt', 'Pd', 'Au']	4	[0.287 0.13  0.583]	5	[ 0.103  0.041 -0.144]	-0.9578208007812488
5	['Pt', 'Pd', 'Au']	4	[0.322 0.393 0.286]	7	[ 0.094 -0.163  0.069]	-0.985545302734375
6	['Pt', 'Pd', 'Au']	4	[0.305 0.349 0.345]	7	[-0.041  0.143 -0.102]	-1.0152923925781248
1	['Pt', 'Pd', 'Au']	5	[0.414 0.487 0.099]	11	[ 0.09   0.028 -0.118]	-0.7345032324218748
2	['Pt', 'Pd', 'Au']	5	[0.443 0.221 0.336]	10	[ 0.096 -0.05  -0.046]	-0.9702882519531238
3	['Pt', 'Pd', 'Au']	5	[0.25  0.368 0.383]	6	[-0.087  0.085  0.002]	-1.0138532031250003
4	['Pt', 'Pd', 'Au']	5	[0.278 0.057 0.664]	5	[-0.009 -0.073  0.081]	-0.9553324316406236
5	['Pt', 'Pd', 'Au']	5	[0.269 0.482 0.25 ]	7	[-0.053  0.089 -0.036]	-0.9464829296875028
6	['Pt', 'Pd', 'Au']	5	[0.289 0.242 0.468]	6	[-0.016 -0.107  0.123]	-1.0298682617187493
1	['Pt', 'Pd', 'Au']	6	[0.338 0.4   0.262]	7	[-0.076 -0.087  0.163]	-0.9772500976562494
2	['Pt', 'Pd', 'Au']	6	[0.334 0.251 0.415]	6	[-0.109  0.03   0.079]	-1.0314560156249986
3	['Pt', 'Pd', 'Au']	6	[0.304 0.303 0.394]	6	[ 0.054 -0.065  0.011]	-1.041763124999999
4	['Pt', 'Pd', 'Au']	6	[0.266 0.104 0.629]	5	[-0.012  0.047 -0.035]	-0.9523034472656241
5	['Pt', 'Pd', 'Au']	6	[0.3   0.384 0.317]	7	[ 0.031 -0.098  0.067]	-0.9988944140625
6	['Pt', 'Pd', 'Au']	6	[0.274 0.328 0.397]	6	[-0.015  0.086 -0.071]	-1.0181021875000005
1	['Pt', 'Pd', 'Au']	7	[0.395 0.495 0.11 ]	11	[ 0.057  0.095 -0.152]	-0.7459908300781248
2	['Pt', 'Pd', 'Au']	7	[0.416 0.279 0.305]	10	[ 0.082  0.028 -0.11 ]	-0.9879161035156239
3	['Pt', 'Pd', 'Au']	7	[0.252 0.364 0.385]	6	[-0.052  0.061 -0.009]	-1.013340625
4	['Pt', 'Pd', 'Au']	7	[0.265 0.071 0.662]	5	[-0.001 -0.033  0.033]	-0.9510402441406238
5	['Pt', 'Pd', 'Au']	7	[0.257 0.487 0.258]	7	[-0.043  0.103 -0.059]	-0.9534326269531275
6	['Pt', 'Pd', 'Au']	7	[0.3   0.272 0.427]	6	[ 0.026 -0.056  0.03 ]	-1.0413452636718739
1	['Pt', 'Pd', 'Au']	8	[0.327 0.401 0.273]	7	[-0.068 -0.094  0.163]	-0.9776650488281243
2	['Pt', 'Pd', 'Au']	8	[0.367 0.23  0.403]	6	[-0.049 -0.049  0.098]	-1.0073845214843724
3	['Pt', 'Pd', 'Au']	8	[0.286 0.289 0.426]	6	[ 0.034 -0.075  0.041]	-1.0391297363281242
4	['Pt', 'Pd', 'Au']	8	[0.251 0.116 0.631]	5	[-0.014  0.045 -0.031]	-0.953166826171874
5	['Pt', 'Pd', 'Au']	8	[0.293 0.401 0.308]	7	[ 0.036 -0.086  0.05 ]	-0.9964153222656251
6	['Pt', 'Pd', 'Au']	8	[0.279 0.317 0.403]	6	[-0.021  0.045 -0.024]	-1.0318565332031253
1	['Pt', 'Pd', 'Au']	9	[0.34  0.479 0.182]	7	[ 0.013  0.078 -0.091]	-0.9727042968749988
2	['Pt', 'Pd', 'Au']	9	[0.403 0.281 0.316]	10	[ 0.036  0.051 -0.087]	-0.995921757812499
