ID	Elements	Generation	Position	Velocity	F_damp	F_b_best	F_h_best	F_g_best	F_b_worst	F_h_worst	F_g_worst	Mut_Prob	Mut_Rate	v_max	Activity
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.143 0.143 0.143 0.143 0.143 0.    0.143 0.143]	[-0.04 -0.04 -0.04 -0.04 -0.04  0.28 -0.04 -0.04]	0.95	0.8	1.2	1.5	0.5	0.8	0.2	0.7	0.5	0.2	-0.41062932617187525
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.143 0.143 0.143 0.    0.143 0.143 0.143 0.143]	[-0.04 -0.04 -0.04  0.28 -0.04 -0.04 -0.04 -0.04]	0.95	0.8	1.2	1.5	0.5	0.8	0.2	0.7	0.5	0.2	-0.3739795703125012
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.143 0.143 0.    0.143 0.143 0.143 0.143 0.143]	[-0.04 -0.04  0.28 -0.04 -0.04 -0.04 -0.04 -0.04]	0.95	0.8	1.2	1.5	0.5	0.8	0.2	0.7	0.5	0.2	-0.27533458984375053
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.143 0.    0.143 0.143 0.143 0.143 0.143 0.143]	[-0.04  0.28 -0.04 -0.04 -0.04 -0.04 -0.04 -0.04]	0.95	0.8	1.2	1.5	0.5	0.8	0.2	0.7	0.5	0.2	-0.24873687499999933
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.143 0.143 0.143 0.143 0.143 0.143 0.143 0.   ]	[-0.04 -0.04 -0.04 -0.04 -0.04 -0.04 -0.04  0.28]	0.95	0.8	1.2	1.5	0.5	0.8	0.2	0.7	0.5	0.2	-0.2186007910156264
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.01  0.115 0.188 0.094 0.186 0.065 0.147 0.195]	[ 0.196  0.017 -0.107  0.053 -0.104  0.102 -0.038 -0.119]	0.95	0.8	1.2	1.5	0.5	0.8	0.2	0.7	0.5	0.2	-0.1625701269531246
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.141 0.121 0.137 0.19  0.102 0.125 0.057 0.127]	[-0.048  0.012 -0.036 -0.197  0.07  -0.     0.206 -0.006]	0.95	0.8	1.2	1.5	0.5	0.8	0.2	0.7	0.5	0.2	-0.2705161914062501
8	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.18  0.129 0.065 0.178 0.115 0.184 0.081 0.069]	[-0.123 -0.009  0.134 -0.118  0.022 -0.132  0.098  0.125]	0.95	0.8	1.2	1.5	0.5	0.8	0.2	0.7	0.5	0.2	-0.24456339843750105
9	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.105 0.091 0.16  0.015 0.186 0.159 0.061 0.223]	[ 0.033  0.056 -0.057  0.18  -0.1   -0.056  0.105 -0.161]	0.95	0.8	1.2	1.5	0.5	0.8	0.2	0.7	0.5	0.2	-0.2976127636718742
10	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.016 0.259 0.224 0.016 0.179 0.125 0.091 0.091]	[ 0.137 -0.169 -0.125  0.137 -0.068 -0.     0.043  0.043]	0.95	0.8	1.2	1.5	0.5	0.8	0.2	0.7	0.5	0.2	-0.19723184570312435
