ID	Elements	Generation	Position	Velocity	Activity
1	['Pt', 'Pd', 'Au']	0	[0.5 0.5 0. ]	[-0.123 -0.123  0.245]	-0.9373137011718712
2	['Pt', 'Pd', 'Au']	0	[0.5 0.  0.5]	[-0.123  0.245 -0.123]	-0.9103924121093762
3	['Pt', 'Pd', 'Au']	0	[0.  0.5 0.5]	[ 0.245 -0.123 -0.123]	-0.27012013671874996
4	['Pt', 'Pd', 'Au']	0	[0.9  0.05 0.05]	[-0.245  0.122  0.122]	-0.8797533007812509
5	['Pt', 'Pd', 'Au']	0	[0.05 0.9  0.05]	[ 0.122 -0.245  0.122]	-0.2946266406250005
6	['Pt', 'Pd', 'Au']	0	[0.05 0.05 0.9 ]	[ 0.122  0.122 -0.245]	-0.2527593847656257
1	['Pt', 'Pd', 'Au']	1	[0.336 0.424 0.24 ]	[-0.217  0.01   0.207]	-0.9848260546874987
2	['Pt', 'Pd', 'Au']	1	[0.399 0.221 0.38 ]	[-0.081  0.219 -0.138]	-0.9829806347656252
3	['Pt', 'Pd', 'Au']	1	[0.143 0.6   0.256]	[ 0.143  0.1   -0.244]	-0.8910499218749958
4	['Pt', 'Pd', 'Au']	1	[0.974 0.    0.026]	[-0.086 -0.013  0.099]	-0.8795465332031259
5	['Pt', 'Pd', 'Au']	1	[0.182 0.709 0.109]	[ 0.171 -0.238  0.067]	-0.8986273144531213
6	['Pt', 'Pd', 'Au']	1	[0.187 0.157 0.656]	[ 0.137  0.107 -0.244]	-0.8238710058593764
1	['Pt', 'Pd', 'Au']	2	[0.542 0.414 0.043]	[ 0.206 -0.01  -0.197]	-0.9403472656249963
2	['Pt', 'Pd', 'Au']	2	[0.448 0.007 0.545]	[-0.225  0.178  0.047]	-0.9103924121093762
3	['Pt', 'Pd', 'Au']	2	[0.006 0.533 0.46 ]	[-0.137 -0.067  0.204]	-0.2709063671875
4	['Pt', 'Pd', 'Au']	2	[0.915 0.085 0.   ]	[-0.059  0.085 -0.026]	-0.8837346679687509
5	['Pt', 'Pd', 'Au']	2	[0.087 0.843 0.07 ]	[-0.221  0.13   0.092]	-0.6540748339843724
6	['Pt', 'Pd', 'Au']	2	[0.111 0.132 0.757]	[-0.076 -0.025  0.101]	-0.7272866796874996
1	['Pt', 'Pd', 'Au']	3	[0.371 0.347 0.28 ]	[-0.171 -0.067  0.237]	-1.0211949023437479
2	['Pt', 'Pd', 'Au']	3	[0.449 0.176 0.376]	[ 0.099  0.109 -0.208]	-0.9768933593749993
3	['Pt', 'Pd', 'Au']	3	[0.211 0.546 0.242]	[ 0.205  0.013 -0.218]	-0.9470388964843738
4	['Pt', 'Pd', 'Au']	3	[0.961 0.029 0.009]	[-0.002  0.101 -0.099]	-0.8804780371093759
5	['Pt', 'Pd', 'Au']	3	[0.311 0.645 0.044]	[ 0.224 -0.198 -0.026]	-0.9010973925781208
6	['Pt', 'Pd', 'Au']	3	[0.299 0.175 0.527]	[ 0.188  0.043 -0.23 ]	-0.8736136621093756
1	['Pt', 'Pd', 'Au']	4	[0.538 0.408 0.052]	[ 0.167  0.061 -0.228]	-0.9423250292968712
2	['Pt', 'Pd', 'Au']	4	[0.429 0.139 0.433]	[-0.02  -0.037  0.057]	-0.9752634277343741
